school name,head of school name,email adress of head of the school,school phone number,school information link
Abraham Joshua Heschel School,Ariela Dubler,ariela@heschel.org,212-595-7087,https://www.nysais.org/page.cfm?p=747
Academy of St. Joseph - Provisional Member,Angela Coombs,acoombs@aosj.us,212-243-5420,https://www.nysais.org/page.cfm?p=3321
Albany Academies,Christopher Lauricella,lauricellac@albanyacademies.org,518-429-2300,https://www.nysais.org/page.cfm?p=96
All Souls School,Jennifer Vest,jvest@allsousschoolnyc.org,212.861.5232,https://www.nysais.org/page.cfm?p=2455
Allendale Columbia School,Shannon Baudo,sbaudo@allendalecolumbia.org,585-381-4560,https://www.nysais.org/page.cfm?p=100
Allen-Stevenson School,David R. Trower,dtrower@allen-stevenson.org,212-288-6710,https://www.nysais.org/page.cfm?p=99
"Alternative School for Math and Science, The - Provisional Member",Joe Doherty,dohertyjl@tasms.com,(607)962-0011,https://www.nysais.org/page.cfm?p=3998
Aurora Waldorf School - Provisional Member,Anna Harp,aharp@auroraws.org,716-655-2029,https://www.nysais.org/page.cfm?p=3641
Avenues New York - Associate Member,Judy Fox,judy.fox@avenues.org,212-524-9000,https://www.nysais.org/page.cfm?p=3780
Bank Street School for Children,Doug Knecht,dknecht@bankstreet.edu,212-875-4420,https://www.nysais.org/page.cfm?p=102
Barrow Street Nursery School,Nicole Ferrin,npappas@greenwichhouse.org,212-633-1203,https://www.nysais.org/page.cfm?p=2084
Bay Ridge Preparatory School,Charles Fasano,cfasano@bayridgeprep.org,718-833-9090,https://www.nysais.org/page.cfm?p=730
"Beekman School, The - Associate Member",Maren Holmen,not found ,212-755-6666,https://www.nysais.org/page.cfm?p=3685
Berkeley Carroll School,Lisa Waller,lwaller@berkeleycarroll.org,718-789-6060,https://www.nysais.org/page.cfm?p=103
"Birch Wathen Lenox School, The","Frank J. Carnabuci, III",fcarnabuci@bwl.org,212-861-0404,https://www.nysais.org/page.cfm?p=105
